ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
12            2015-09-12T03:43:24.101  7840.38671875     -2315.17431640625    -7487.46533203125    222.467529296875     2015-09-12T15:40:24.101  76376.046875      22100.16796875       73071.1484375        -2342.9033203125     
13            2015-09-13T03:36:54.101  7837.09375        -2227.352294921875   -7509.56884765625    255.56893920898438   2015-09-13T15:33:24.101  76381.140625      23265.33984375       72712.234375         -2394.28759765625    
14            2015-09-14T03:29:54.101  7830.697265625    -2424.231689453125   -7441.806640625      249.8557586669922    2015-09-14T15:26:24.101  76389.1171875     24424.525390625      72337.8125           -2445.609375         
15            2015-09-15T03:22:54.081  7822.41650390625  -2642.88623046875    -7358.48779296875    240.8319091796875    2015-09-15T15:19:54.081  76399.265625      25548.95703125       71957.2421875        -2500.690185546875   
16            2015-09-16T03:16:24.081  7812.234375       -2623.429443359375   -7353.84619140625    263.7568054199219    2015-09-16T15:12:54.081  76410.3515625     26691.705078125      71551.25             -2552.127197265625   
17            2015-09-17T03:09:24.081  7802.556640625    -2911.169677734375   -7234.984375         244.90872192382812   2015-09-17T15:06:24.081  76420.7734375     27797.37890625       71138.1875           -2607.399658203125   
18            2015-09-18T03:02:54.081  7793.42333984375  -2968.037353515625   -7201.52685546875    257.31390380859375   2015-09-18T14:59:54.081  76428.8046875     28892.81640625       70706.96875          -2662.770751953125   
19            2015-09-19T02:56:24.081  7787.4892578125   -3054.119384765625   -7158.67822265625    265.84783935546875   2015-09-19T14:53:24.081  76433.0078125     29978.705078125      70255.9140625        -2718.17529296875    
20            2015-09-20T02:49:54.081  7785.6142578125   -3153.19189453125    -7113.27734375       272.8532409667969    2015-09-20T14:46:24.081  76432.65625       31082.681640625      69772.1015625        -2769.884033203125   
21            2015-09-21T02:43:24.081  7787.90234375     -3244.310546875      -7074.3759765625     281.2149353027344    2015-09-21T14:39:54.081  76428.109375      32153.9921875        69277.671875         -2824.956787109375   
22            2015-09-22T02:36:54.060  7793.5048828125   -3307.229248046875   -7050.86962890625    293.59320068359375   2015-09-22T14:33:24.060  76420.890625      33221.3125           68761.9453125        -2879.568359375      
23            2015-09-23T02:30:24.060  7800.93603515625  -3327.772705078125   -7048.64453125       311.6728210449219    2015-09-23T14:26:54.060  76413.3984375     34286.1640625        68226.546875         -2933.56591796875    
24            2015-09-24T02:23:24.060  7806.322265625    -3560.724609375      -6940.40869140625    301.0700378417969    2015-09-24T14:19:54.060  76408.3359375     35374.50390625       67660.75             -2983.37890625       
25            2015-09-25T02:16:24.060  7809.16064453125  -3756.22802734375    -6840.08447265625    294.9348449707031    2015-09-25T14:12:54.060  76407.7578125     36459.1875           67079.625            -3032.62939453125    
